time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-14 15:38:56.926,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:38:57.984,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:38:59.084,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:00.189,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:01.284,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:02.383,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:03.484,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:04.584,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:05.584,7.49,17.07,7.49,17.07,0.0
2025-11-14 15:39:06.683,7.49,17.07,7.49,17.07,0.0

Avg error: 0.000m | Max error: 0.000m
