time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-29 16:56:28.023,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:29.096,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:30.097,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:31.196,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:32.297,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:33.396,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:34.397,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:35.497,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:36.497,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:37.596,15.87,0.232,15.87,0.232,0.0
2025-11-29 16:56:38.697,15.948,0.237,15.948,0.241,0.004
2025-11-29 16:56:39.797,16.288,0.246,16.284,0.281,0.035
2025-11-29 16:56:40.897,16.563,0.266,16.558,0.313,0.047
2025-11-29 16:56:41.997,16.921,0.323,16.917,0.356,0.033
2025-11-29 16:56:43.096,17.228,0.42,17.232,0.393,0.027
2025-11-29 16:56:44.097,17.425,0.569,17.442,0.418,0.152
2025-11-29 16:56:45.097,17.586,0.755,17.623,0.44,0.318
2025-11-29 16:56:46.196,17.682,0.947,17.728,0.452,0.497
2025-11-29 16:56:47.197,17.757,1.182,17.728,0.452,0.73
2025-11-29 16:56:48.197,17.794,1.374,17.728,0.452,0.924
2025-11-29 16:56:49.297,17.804,1.692,17.728,0.452,1.242
2025-11-29 16:56:50.397,17.786,2.036,17.728,0.452,1.585
2025-11-29 16:56:51.497,17.769,2.218,17.728,0.452,1.766

Avg error: 0.320m | Max error: 1.766m
