time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-25 18:38:12.311,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:13.347,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:14.347,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:15.447,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:16.447,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:17.547,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:18.547,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:19.564,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:20.647,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:21.747,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:22.747,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:23.747,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:24.748,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:25.876,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:26.946,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:27.946,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:28.947,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:30.047,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:31.054,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:32.147,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:33.147,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:34.246,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:35.347,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:36.447,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:37.447,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:38.547,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:39.647,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:40.648,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:41.747,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:42.762,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:43.847,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:44.947,17.78,2.35,17.78,2.35,0.0
2025-11-25 18:38:46.047,17.78,2.35,17.78,2.35,0.0
