time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-29 17:36:31.925,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:32.996,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:33.997,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:35.097,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:36.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:37.296,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:38.397,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:39.497,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:40.497,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:41.596,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:42.697,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:43.797,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:44.797,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:45.897,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:46.997,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:47.997,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:49.097,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:50.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:51.297,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:52.397,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:53.496,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:54.497,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:55.596,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:56.697,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:57.797,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:58.897,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:36:59.897,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:00.997,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:02.097,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:03.097,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:04.196,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:05.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:06.297,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:07.297,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:08.397,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:09.497,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:10.596,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:11.597,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:12.697,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:13.797,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:14.797,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:15.897,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:16.996,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:17.997,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:19.096,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:20.097,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:21.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:22.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:23.197,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:24.297,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:25.297,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:26.396,18.0,1.5,18.0,1.5,0.0
2025-11-29 17:37:27.497,18.0,1.5,18.0,1.5,0.0
