time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-27 19:20:59.886,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:00.915,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:01.916,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:03.015,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:04.016,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:05.116,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:06.215,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:07.216,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:08.316,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:09.415,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:10.516,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:11.615,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:12.716,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:13.816,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:14.916,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:16.016,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:17.116,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:18.116,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:19.215,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:20.216,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:21.315,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:22.416,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:23.516,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:24.615,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:25.616,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:26.716,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:27.815,17.683,1.532,17.683,1.532,0.001
2025-11-27 19:21:28.815,17.673,1.773,17.67,1.773,0.003
2025-11-27 19:21:29.816,17.404,6.845,17.403,6.844,0.002
2025-11-27 19:21:30.915,17.404,6.845,17.403,6.844,0.002
2025-11-27 19:21:32.016,17.404,6.845,17.403,6.844,0.002
2025-11-27 19:21:33.016,17.346,7.929,17.346,7.929,0.001
2025-11-27 19:21:34.116,17.306,8.648,17.308,8.648,0.002
2025-11-27 19:21:35.216,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:36.316,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:37.416,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:38.516,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:39.616,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:40.716,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:41.716,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:42.816,17.288,9.009,17.289,9.009,0.001
2025-11-27 19:21:43.816,17.11,12.062,17.128,12.063,0.017
2025-11-27 19:21:44.916,17.11,12.062,17.128,12.063,0.017
2025-11-27 19:21:46.015,17.11,12.062,17.128,12.063,0.017
2025-11-27 19:21:47.016,17.11,12.062,17.128,12.063,0.017
2025-11-27 19:21:48.116,17.099,12.24,17.118,12.241,0.019
2025-11-27 19:21:49.216,17.099,12.24,17.118,12.241,0.019
2025-11-27 19:21:50.316,17.099,12.24,17.118,12.241,0.019
2025-11-27 19:21:51.415,17.099,12.24,17.118,12.241,0.019
2025-11-27 19:21:52.516,17.065,12.777,17.09,12.779,0.024
2025-11-27 19:21:53.516,17.065,12.777,17.09,12.779,0.024
2025-11-27 19:21:54.615,17.016,13.797,17.036,13.798,0.02
2025-11-27 19:21:55.615,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:21:56.616,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:21:57.716,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:21:58.716,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:21:59.816,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:00.816,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:01.916,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:03.016,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:04.116,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:05.215,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:06.216,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:07.216,17.044,13.916,17.037,13.954,0.039
2025-11-27 19:22:08.216,20.098,14.979,19.828,14.502,0.548
2025-11-27 19:22:09.316,20.098,14.979,19.828,14.502,0.548
2025-11-27 19:22:10.415,20.116,15.1,19.828,14.502,0.664
2025-11-27 19:22:11.415,20.116,15.1,19.828,14.502,0.664
2025-11-27 19:22:12.416,19.912,16.495,19.828,14.502,1.995
2025-11-27 19:22:13.515,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:14.616,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:15.715,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:16.815,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:17.816,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:18.915,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:19.916,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:21.015,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:22.016,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:23.115,19.825,17.026,19.828,14.502,2.524
2025-11-27 19:22:24.215,19.744,18.867,19.828,14.502,4.366
2025-11-27 19:22:25.215,19.744,18.867,19.828,14.502,4.366
2025-11-27 19:22:26.216,20.116,15.1,19.828,14.502,0.664
2025-11-27 19:22:27.315,20.116,15.1,19.828,14.502,0.664
2025-11-27 19:22:28.315,19.59,21.688,19.828,14.502,7.19
2025-11-27 19:22:29.316,19.499,22.22,19.828,14.502,7.725
2025-11-27 19:22:30.415,19.413,22.75,19.828,14.502,8.259
2025-11-27 19:22:31.516,19.413,22.75,19.828,14.502,8.259
2025-11-27 19:22:32.516,19.383,22.908,19.828,14.502,8.417
2025-11-27 19:22:33.615,19.357,23.069,19.828,14.502,8.58
2025-11-27 19:22:34.715,19.383,22.908,19.828,14.502,8.417
2025-11-27 19:22:35.815,19.297,23.42,19.828,14.502,8.934
2025-11-27 19:22:36.916,19.212,23.953,19.828,14.502,9.471
2025-11-27 19:22:38.015,19.153,24.31,19.828,14.502,9.831
2025-11-27 19:22:39.015,19.153,24.31,19.828,14.502,9.831
2025-11-27 19:22:40.016,19.039,24.711,19.828,14.502,10.239
2025-11-27 19:22:41.115,18.81,25.155,19.828,14.502,10.702
2025-11-27 19:22:42.115,18.81,25.155,19.828,14.502,10.702

Avg error: 1.722m | Max error: 10.702m
