time,actual_x,actual_y,plan_x,plan_y,error_m
2025-11-27 17:36:46.344,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:47.403,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:48.503,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:49.603,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:50.603,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:51.702,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:52.702,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:53.703,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:54.703,13.331,13.677,13.331,13.677,0.001
2025-11-27 17:36:55.703,13.514,13.718,13.516,13.706,0.012
2025-11-27 17:36:56.803,14.058,13.823,14.063,13.791,0.032
2025-11-27 17:36:57.902,14.403,13.876,14.407,13.844,0.031
2025-11-27 17:36:58.903,14.58,13.9,14.585,13.872,0.028
2025-11-27 17:37:00.003,14.936,13.947,14.94,13.927,0.02
2025-11-27 17:37:01.003,15.293,13.993,15.294,13.982,0.011
2025-11-27 17:37:02.103,15.595,14.023,15.594,14.029,0.006
2025-11-27 17:37:03.203,15.932,14.077,15.931,14.081,0.004
2025-11-27 17:37:04.302,16.24,14.125,16.239,14.129,0.004
2025-11-27 17:37:05.303,16.436,14.156,16.435,14.16,0.004
2025-11-27 17:37:06.403,16.75,14.216,16.751,14.209,0.007
2025-11-27 17:37:07.403,16.986,14.227,17.03,14.232,0.045
2025-11-27 17:37:08.503,17.192,14.102,17.047,14.085,0.146
2025-11-27 17:37:09.603,17.312,13.934,17.068,13.906,0.246
2025-11-27 17:37:10.703,17.392,13.733,17.091,13.699,0.302
2025-11-27 17:37:11.803,17.432,13.353,17.135,13.319,0.299
2025-11-27 17:37:12.903,17.425,13.179,17.155,13.148,0.272
2025-11-27 17:37:13.903,17.404,12.834,17.193,12.81,0.212
2025-11-27 17:37:14.903,17.393,12.678,17.211,12.657,0.183
2025-11-27 17:37:16.003,17.331,12.214,17.263,12.206,0.068
2025-11-27 17:37:17.103,17.325,12.06,17.28,12.055,0.045
2025-11-27 17:37:18.103,17.332,11.735,17.317,11.734,0.015
